 	Title     	Group 	Last Updated
	90 - Kyoko Ootomo Doesn't Realize 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	89 - Miyuki Shirogane and Yu Ishigami 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	88 - Thus, Yu Ishigami Closed His Eyes, Part 3 	Multiple Groups 	2019-11-03 	
	87 - Shuchin Sports Festival 	Multiple Groups 	2019-11-03 	
	86 - Mr. Shirogane Wants to Pry 	Multiple Groups 	2019-11-03 	
	85 - Kobachi Osaragi Wants to Supervise 	Multiple Groups 	2019-11-03 	
	84 - Miyuki Shirogane Wants To Dance 	Multiple Groups 	2019-11-03 	
	83.5 - Kaguya Wants to be Confessed to Darkness Vol. 2 	Multiple Groups 	2019-11-03 	
	83 - Kei Shirogane Won't Talk 	Multiple Groups 	2019-11-03 	
	82 - Kaguya Won't Refuse 	Multiple Groups 	2019-11-03 	
	81 - Kaguya Wants To Touch 	Multiple Groups 	2019-11-03 	
	80.1 - Vol 8 Extras 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	80 - Thus, Yu Ishigami Closed His Eyes, Part 2 	Multiple Groups 	2019-11-03 	
	79 - Kaguya Wants To Be Examined 	Multiple Groups 	2019-11-03 	
	78 - Kaguya Isn't Frightened 	/a/nonymous 	2019-07-16 	
	77 - Chika Fujiwara Wants to Get Information 	/a/nonymous 	2019-07-16 	
	76 - Nagisa Kashiwagi is Annoying 	/a/nonymous 	2019-07-16 	
	75 - Kaguya Wants to Collect 	/a/nonymous 	2019-07-16 	
	74 - Kaguya ♡ Aquarium 	/a/nonymous 	2019-07-16 	
	73 - Miyuki Shirogane Wants to Read 	/a/nonymous 	2019-07-16 	
	72 - Miko Iino Wants to Restrain 	Psylocke Scans 	2019-07-16 	
	71 - Kaguya Wants to Produce 	Psylocke Scans 	2019-07-16 	
	70.1 - Vol 7 Extras 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	70 - Kaguya Wants to Strip 	Psylocke Scans 	2019-07-16 	
	69 - Kaguya Hasn't Been Called 	Psylocke Scans 	2019-07-16 	
	68 - I Want to Make Miko Iino Smile 	Psylocke Scans 	2019-07-16 	
	67 - Miko Iino Can't be Laughed At 	Psylocke Scans 	2019-07-16 	
	66 - Kaguya Wants to Eliminate 	Psylocke Scans 	2019-07-16 	
	65 - Miko Iino Wants to Correct 	Psylocke Scans 	2019-07-16 	
	64.5 - Kaguya Wants to be Confessed to Darkness 	Psylocke Scans 	2019-07-16 	
	64 - Nagisa Kashiwagi Wants to Console 	Psylocke Scans 	2019-07-16 	
	63 - Miyuki Shirogane Wants to Be Popular 	Psylocke Scans 	2019-07-16 	
	62 - Miyuki Shirogane Wants to Draw 	Psylocke Scans 	2019-07-16 	
	61 - Kaguya Wants a Confession 	Psylocke Scans 	2019-07-16 	
